"","id","country","c3","c2","year","gini_reported","palma","ratio_top20bottom20","bottom40","q1","q2","q3","q4","q5","d1","d2","d3","d4","d5","d6","d7","d8","d9","d10","bottom5","top5","resource","resource_detailed","scale","scale_detailed","sharing_unit","reference_unit","areacovr","areacovr_detailed","popcovr","popcovr_detailed","region_un","region_un_sub","region_wb","eu","oecd","incomegroup","mean","median","currency","reference_period","exchangerate","mean_usd","median_usd","gdp_ppp_pc_usd2011","population","revision","quality","quality_score","source","source_detailed","source_comments","survey","link","region_label"
"1",1,"Afghanistan","AFG","AF",2008,29,NA,4.33,22,9,13,17,22,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,401,1,101,1,1,1,101,1,101,4,403,6,0,0,4,31855.92,NA,"Afghan afghani 2016",1,NA,NA,NA,1268,27722282,"New 2019",1,12,5,"European Union and the Central Statistics Organization of Afghanistan","","Living Conditions Survey (LCS)","https://cso-of-afghanistan.shinyapps.io/ALCS_Dashboard/","Asia"
"2",2,"Afghanistan","AFG","AF",2012,33,NA,4.11,23,9,14,17,22,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,401,1,101,1,1,1,101,1,101,4,403,6,0,0,4,32723.88,NA,"Afghan afghani 2016",1,NA,NA,NA,1773,31161378,"New 2019",1,12,5,"European Union and the Central Statistics Organization of Afghanistan","","Living Conditions Survey (LCS)","https://cso-of-afghanistan.shinyapps.io/ALCS_Dashboard/","Asia"
"3",3,"Afghanistan","AFG","AF",2017,31,NA,4.44,22,9,13,16,22,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,401,1,101,1,1,1,101,1,101,4,403,6,0,0,4,26792.28,NA,"Afghan afghani 2016",1,NA,NA,NA,1758,36296108,"New 2019",1,12,5,"European Union and the Central Statistics Organization of Afghanistan","","Living Conditions Survey (LCS)","https://eeas.europa.eu/regions/asia/44072/results-afghanistan-living-conditions-survey-alcs-2016-17-released_en","Asia"
"4",4,"Albania","ALB","AL",1996,27.01,0.93,3.95,22.85,9.15,13.7,17.74,23.29,36.12,3.86,5.29,6.38,7.32,8.38,9.35,10.82,12.47,14.9,21.22,NA,NA,4,401,1,101,1,1,1,101,1,101,2,204,3,0,0,2,2254.11,1981.04,"US$2011PPP",1,NA,NA,NA,4635,3098699,"New 2019",2,13,7,"World Bank 2019","PovcalNet","","http://iresearch.worldbank.org/PovcalNet/povOnDemand.aspx","Europe"
"5",5,"Albania","ALB","AL",2002,31.74,1.22,4.83,20.93,8.35,12.58,16.49,22.21,40.37,3.49,4.86,5.84,6.74,7.65,8.84,10.23,11.98,14.93,25.44,NA,NA,4,401,1,101,1,1,1,101,1,101,2,204,3,0,0,2,2303.86,1900.36,"US$2011PPP",1,NA,NA,NA,6088,3126183,"New 2019",2,13,7,"World Bank 2019","PovcalNet","","http://iresearch.worldbank.org/PovcalNet/povOnDemand.aspx","Europe"
"6",6,"Albania","ALB","AL",2005,30.6,1.14,4.66,21.3,8.4,12.9,17.02,22.5,39.17,3.48,4.92,5.98,6.92,7.99,9.04,10.37,12.13,14.83,24.34,NA,NA,4,401,1,101,1,1,1,101,1,101,2,204,3,0,0,2,2604.4,2216.22,"US$2011PPP",1,NA,NA,NA,7245,3086810,"New 2019",2,13,7,"World Bank 2019","PovcalNet","","http://iresearch.worldbank.org/PovcalNet/povOnDemand.aspx","Europe"
"7",7,"Albania","ALB","AL",2008,29.98,1.11,4.4,21.94,8.87,13.07,16.84,22.23,39,3.73,5.14,6.09,6.98,7.91,8.92,10.3,11.93,14.54,24.46,NA,NA,4,401,1,101,1,1,1,101,1,101,2,204,3,0,0,2,2850.42,2385.31,"US$2011PPP",1,NA,NA,NA,8986,3002683,"New 2019",2,13,7,"World Bank 2019","PovcalNet","","http://iresearch.worldbank.org/PovcalNet/povOnDemand.aspx","Europe"
"8",8,"Albania","ALB","AL",2012,28.96,1.04,4.27,22.02,8.85,13.17,17.34,22.81,37.82,3.66,5.19,6.14,7.03,8.08,9.26,10.52,12.29,14.89,22.93,NA,NA,4,401,1,101,1,1,1,101,1,101,2,204,3,0,0,2,2703.23,2340.56,"US$2011PPP",1,NA,NA,NA,10321,2914091,"New 2019",2,13,7,"World Bank 2019","PovcalNet","","http://iresearch.worldbank.org/PovcalNet/povOnDemand.aspx","Europe"
"9",9,"Algeria","DZA","DZ",1988,40.19,1.9,7.21,17.28,6.54,10.74,14.93,20.64,47.15,2.7,3.84,4.87,5.87,6.9,8.03,9.4,11.24,14.34,32.81,NA,NA,4,401,1,101,1,1,1,101,1,101,3,301,4,0,0,2,2405.17,1789.69,"US$2011PPP",1,NA,NA,NA,NA,24443472,"New 2019",2,13,7,"World Bank 2019","PovcalNet","","http://iresearch.worldbank.org/PovcalNet/povOnDemand.aspx","Africa"
"10",10,"Algeria","DZA","DZ",1995,35.33,1.45,6.11,18.52,6.97,11.55,16.24,22.63,42.62,2.87,4.09,5.22,6.33,7.48,8.76,10.29,12.34,15.73,26.89,NA,NA,4,401,1,101,1,1,1,101,1,101,3,301,4,0,0,2,2291.49,1853.62,"US$2011PPP",1,NA,NA,NA,9343,28757788,"New 2019",2,13,7,"World Bank 2019","PovcalNet","","http://iresearch.worldbank.org/PovcalNet/povOnDemand.aspx","Africa"
"11",11,"Algeria","DZA","DZ",2012,27.62,0.99,3.98,23.02,9.36,13.66,17.47,22.29,37.22,4.05,5.31,6.36,7.31,8.24,9.23,10.39,11.9,14.36,22.86,NA,NA,4,401,1,101,1,1,1,101,1,101,3,301,4,0,0,2,2972.79,2591.95,"US$2011PPP",1,NA,NA,NA,13226,37383900,"New 2019",2,13,7,"World Bank 2019","PovcalNet","","http://iresearch.worldbank.org/PovcalNet/povOnDemand.aspx","Africa"
"12",12,"Andorra","AND","AD",2001,26.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,401,2,201,1,1,1,101,1,101,2,204,3,0,0,1,NA,NA,"",NA,NA,NA,NA,NA,67341,"New 2018",1,11,5,"Andorra Ministry of Finance","","l’Enquesta de Pressupostos Familiars (EPF)","","Europe"
"13",13,"Andorra","AND","AD",2002,26.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,401,2,201,1,1,1,101,1,101,2,204,3,0,0,1,NA,NA,"",NA,NA,NA,NA,NA,70049,"New 2018",1,11,5,"Andorra Ministry of Finance","","l’Enquesta de Pressupostos Familiars (EPF)","","Europe"
"14",14,"Andorra","AND","AD",2003,27.21,0.99,3.78,23.7,9.9,13.8,17.1,21.8,37.4,4.3,5.6,6.5,7.3,8.1,9,10.2,11.6,14,23.4,NA,NA,4,401,2,201,1,1,1,101,1,101,2,204,3,0,0,1,17266,14668,"Euro",1,NA,NA,NA,NA,73182,"New 2018",1,13,5,"Andorra Ministry of Finance","","l’Enquesta de Pressupostos Familiars (EPF)","","Europe"
"15",15,"Andorra","AND","AD",2016,27.96,1,3.91,23.1,9.7,13.4,16.8,22.3,37.9,4.3,5.4,6.3,7.1,7.9,8.9,10.2,12.1,14.9,23,NA,NA,4,401,2,201,1,1,1,101,1,101,2,204,3,0,0,1,NA,NA,"",NA,NA,NA,NA,NA,77295,"New 2019",1,13,5,"Andorra Ministry of Finance","","l’Enquesta de Pressupostos Familiars (EPF)","https://www.estadistica.ad/serveiestudis/publicacions/Publicacions/Prestacions%20socials.pdf","Europe"
"16",16,"Angola","AGO","AO",1995,45,NA,NA,NA,NA,NA,NA,NA,NA,4.4,NA,NA,NA,NA,NA,NA,NA,NA,42.2,NA,NA,2,201,1,101,1,1,3,301,1,101,3,303,5,0,0,3,NA,NA,"",NA,0.00275022958333333,NA,NA,3331,14268994,"New 2018",2,11,8,"Sousa 2002","","The Inquerito Prioritario sobre as Condicoes de Vida aos Domicilios (IPCVD)","","Africa"
"17",17,"Angola","AGO","AO",2001,51.96,3.65,17.65,11.02,3.18,7.84,12.71,20.16,56.12,0.98,2.2,3.34,4.49,5.66,7.05,8.81,11.35,15.87,40.25,NA,NA,4,401,1,101,1,1,1,101,1,101,3,303,5,0,0,3,1640.55,1037.7,"US$2011PPP",1,NA,NA,NA,3924,16945754,"New 2019",2,13,7,"World Bank 2019","PovcalNet","","http://iresearch.worldbank.org/PovcalNet/povOnDemand.aspx","Africa"
"18",18,"Angola","AGO","AO",2009,55,NA,19.67,10,3,7,12,19,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,201,1,101,1,1,1,101,1,101,3,303,5,0,0,3,105204,NA,"Angolan kwanza",2,0.0126058629868752,NA,NA,6283,22549547,"New 2013",1,10,5,"Angola Instituto Nacional de Estatistica","","Integrated Survey on the Welfare of Population (IBEP)","","Africa"
"19",19,"Angola","AGO","AO",2009,43,NA,9.8,15,5,10,14,22,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,401,1,101,1,1,1,101,1,101,3,303,5,0,0,3,77388,NA,"Angolan kwanza",2,0.0126058629868752,NA,NA,6283,22549547,"New 2013",1,12,5,"Angola Instituto Nacional de Estatistica","","Integrated Survey on the Welfare of Population (IBEP)","","Africa"
"20",20,"Angola","AGO","AO",2009,50,NA,13.75,12,4,8,13,20,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,201,1,101,1,1,2,201,1,101,3,303,5,0,0,3,71604,NA,"Angolan kwanza",2,0.0126058629868752,NA,NA,6283,22549547,"New 2013",1,10,5,"Angola Instituto Nacional de Estatistica","","Integrated Survey on the Welfare of Population (IBEP)","","Africa"
"21",21,"Angola","AGO","AO",2009,38,NA,7.5,17,6,11,15,22,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,401,1,101,1,1,2,201,1,101,3,303,5,0,0,3,48732,NA,"Angolan kwanza",2,0.0126058629868752,NA,NA,6283,22549547,"New 2013",1,12,5,"Angola Instituto Nacional de Estatistica","","Integrated Survey on the Welfare of Population (IBEP)","","Africa"
"22",22,"Angola","AGO","AO",2009,55,NA,19.67,10,3,7,12,19,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,201,1,101,1,1,3,301,1,101,3,303,5,0,0,3,132924,NA,"Angolan kwanza",2,0.0126058629868752,NA,NA,6283,22549547,"New 2013",1,10,5,"Angola Instituto Nacional de Estatistica","","Integrated Survey on the Welfare of Population (IBEP)","","Africa"
"23",23,"Angola","AGO","AO",2009,39,NA,7.5,17,6,11,15,22,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,401,1,101,1,1,3,301,1,101,3,303,5,0,0,3,101028,NA,"Angolan kwanza",2,0.0126058629868752,NA,NA,6283,22549547,"New 2013",1,12,5,"Angola Instituto Nacional de Estatistica","","Integrated Survey on the Welfare of Population (IBEP)","","Africa"
"24",24,"Angola","AGO","AO",2009,42.72,2.15,8.94,15.05,5.43,9.62,14.46,21.94,48.54,2.07,3.36,4.32,5.3,6.54,7.92,9.65,12.29,16.23,32.31,NA,NA,4,401,1,101,1,1,1,101,1,101,3,303,5,0,0,3,1449.09,1044.32,"US$2011PPP",1,NA,NA,NA,6293,22514276,"New 2019",2,13,7,"World Bank 2019","PovcalNet","","http://iresearch.worldbank.org/PovcalNet/povOnDemand.aspx","Africa"
"25",25,"Argentina","ARG","AR",1953,40,2.05,6.77,18.1,7.4,10.7,13.6,18.2,50.1,3.2,4.2,5,5.7,6.4,7.2,8.3,9.9,13,37.1,NA,NA,1,102,3,301,1,2,1,101,1,101,1,104,2,0,0,2,NA,21288,"Argentine peso",2,NA,NA,NA,NA,18224150,"",3,12,4,"Altimir 1986","UNECLAC. Compilation. Based on National Accounts","","","Americas"
"26",26,"Argentina","ARG","AR",1953,41.2,2.03,6.67,18.1,7.5,10.6,13.9,18.1,50,3.2,4.3,5,5.6,6.5,7.4,8.3,9.8,13.2,36.8,NA,NA,2,201,3,301,1,2,1,101,1,101,1,104,2,0,0,2,NA,NA,"",NA,NA,NA,NA,NA,18224150,"",3,10,8,"Weisskoff 1970","Argentina National Development Council","","","Americas"
"27",27,"Argentina","ARG","AR",1959,44.7,2.61,8.06,16.2,6.8,9.4,12.3,16.7,54.8,3,3.8,4.4,5,5.8,6.5,7.6,9.1,12.5,42.3,NA,NA,1,102,3,301,1,2,1,101,1,101,1,104,2,0,0,2,NA,112824,"Argentine peso",2,NA,NA,NA,NA,20285531,"",3,12,4,"Altimir 1986","UNECLAC. Compilation. Based on National Accounts","","","Americas"
"28",28,"Argentina","ARG","AR",1959,46.3,2.55,7.93,16.4,6.9,9.5,12.2,16.8,54.7,3,3.9,4.4,5.1,5.7,6.5,7.8,9,12.8,41.9,NA,NA,2,201,3,301,1,2,1,101,1,101,1,104,2,0,0,2,NA,NA,"",NA,NA,NA,NA,NA,20285531,"",3,10,8,"Weisskoff 1970","","","","Americas"
"29",29,"Argentina","ARG","AR",1961,41.9,2.25,7.41,17.3,7,10.3,13.2,17.6,51.9,2.9,4.1,4.8,5.5,6.2,7,8,9.6,12.9,39,NA,NA,1,102,3,301,1,2,1,101,1,101,1,104,2,0,0,2,NA,163680,"Argentine peso",2,NA,NA,NA,NA,20953077,"",3,12,4,"Altimir 1986","UNECLAC. Compilation. Based on National Accounts","","","Americas"
"30",30,"Argentina","ARG","AR",1961,40.7,2.12,6.81,18.1,7.5,10.6,13.2,17.6,51.1,3.2,4.3,5,5.6,6.2,7,8,9.6,12.7,38.4,NA,NA,1,102,3,301,1,2,3,301,1,101,1,104,2,0,0,2,NA,170256,"Argentine peso",2,NA,NA,NA,NA,20953077,"",3,12,4,"Altimir 1986","UNECLAC. Compilation. Based on National Accounts","","","Americas"
"31",31,"Argentina","ARG","AR",1961,50.8,3.11,9.39,14,6.1,7.9,11.2,17.5,57.3,3,3.1,3.7,4.2,5.1,6.1,7.7,9.8,13.7,43.6,NA,33.8,2,201,3,301,1,2,2,202,1,101,1,104,2,0,0,2,NA,NA,"",NA,NA,NA,NA,NA,20953077,"",4,9,7,"Jain 1975","Cline 1972","","","Americas"
"32",32,"Argentina","ARG","AR",1961,42,2.05,6.86,17.4,7.2,10.2,13.8,19.4,49.4,3.2,4,4.7,5.5,6.4,7.4,8.7,10.7,13.8,35.6,NA,26.4,2,201,3,301,1,2,3,311,1,101,1,104,2,0,0,2,NA,NA,"",NA,NA,NA,NA,NA,20953077,"",4,9,7,"Jain 1975","Cline 1972","","","Americas"
"33",33,"Argentina","ARG","AR",1961,47.7,2.66,10.5,14.8,5,9.8,13.7,19,52.5,1.6,3.4,4.5,5.3,6.3,7.4,8.6,10.4,13.2,39.3,NA,30.8,2,201,NA,NA,NA,1,3,311,1,101,1,104,2,0,0,2,NA,NA,"",NA,NA,NA,NA,NA,20953077,"",3,7,7,"Jain 1975","Synthetic estimates (UN-ECLA 1970)","","","Americas"
"34",34,"Argentina","ARG","AR",1961,43.8,2.23,7.38,16.6,6.9,9.7,13.3,19.2,50.9,3.1,3.8,4.5,5.2,6.1,7.2,8.6,10.6,13.9,37,NA,32,2,201,3,301,1,2,1,101,1,101,1,104,2,0,0,2,NA,NA,"",NA,NA,NA,NA,NA,20953077,"",4,10,7,"Jain 1975","UNECLAC 1969","","","Americas"
"35",35,"Argentina","ARG","AR",1961,49,2.83,10.57,14.4,5.1,9.3,13.1,18.6,53.9,1.8,3.3,4.3,5,6,7.1,8.4,10.2,13.2,40.7,NA,32,2,201,3,301,4,1,1,101,2,205,1,104,2,0,0,2,92140,NA,"Argentine peso",1,NA,NA,NA,NA,20953077,"",4,9,7,"Jain 1975","UNECLAC 1969","","","Americas"
"36",36,"Argentina","ARG","AR",1961,53.1,3.37,11.12,13.4,5.2,8.2,11.7,17.1,57.8,2.1,3.1,3.7,4.5,5.3,6.4,7.6,9.5,12.6,45.2,NA,36.8,2,201,3,301,4,1,2,202,2,205,1,104,2,0,0,2,78620,NA,"Argentine peso",1,NA,NA,NA,NA,20953077,"",4,8,7,"Jain 1975","UNECLAC 1969","","","Americas"
"37",37,"Argentina","ARG","AR",1961,42.3,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.4,2,201,3,301,1,2,1,101,1,101,1,104,2,0,0,2,NA,NA,"",NA,NA,NA,NA,NA,20953077,"",4,8,8,"Cromwell 1977","Weisskoff 1970","","","Americas"
"38",38,"Argentina","ARG","AR",1961,42.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,506,3,301,1,2,3,301,1,101,1,104,2,0,0,2,NA,NA,"",NA,NA,NA,NA,NA,20953077,"",4,6,8,"Lecaillon et al. 1984","","","","Americas"
"39",39,"Argentina","ARG","AR",1961,47.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,506,NA,NA,NA,1,3,301,2,201,1,104,2,0,0,2,NA,NA,"",NA,NA,NA,NA,NA,20953077,"",3,3,8,"Lecaillon et al. 1984","","","","Americas"
"40",40,"Argentina","ARG","AR",1961,42,NA,7.36,17.4,7,10.4,13.2,17.9,51.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.3,3,301,3,301,1,2,1,101,1,101,1,104,2,0,0,2,NA,NA,"",NA,NA,NA,NA,NA,20953077,"",4,11,8,"Paukert 1973","Weisskoff 1970","","","Americas"
"41",41,"Argentina","ARG","AR",1961,43.4,2.24,7.37,17.4,7,10.4,13.2,17.9,51.6,2.9,4.1,4.9,5.5,6.1,7.1,8.1,9.8,12.6,39,NA,NA,2,201,3,301,1,2,1,101,1,101,1,104,2,0,0,2,NA,NA,"",NA,NA,NA,NA,NA,20953077,"",3,10,8,"Weisskoff 1970","Argentina National Development Council","","","Americas"
"42",42,"Argentina","ARG","AR",1963,37.3,1.71,6.72,17.8,6.8,11,15.2,21.3,45.7,2.7,4.1,5,6,7.1,8.1,9.6,11.7,15.2,30.5,NA,NA,1,102,3,301,1,2,3,301,1,101,1,104,2,0,0,2,NA,252300,"Argentine peso",2,1.3871666666625e-11,NA,NA,NA,21621840,"",3,12,4,"Altimir 1986","UNECLAC. Compilation","Encuesta de Presupuestos de Consumo","","Americas"
"43",43,"Argentina","ARG","AR",1963,35.8,1.57,6.21,18.8,7.2,11.6,15.3,21.2,44.7,2.9,4.3,5.3,6.3,7.2,8.1,9.5,11.7,15.2,29.5,NA,NA,1,102,3,301,1,2,3,310,1,101,1,104,2,0,0,2,NA,258300,"Argentine peso",2,1.3871666666625e-11,NA,NA,NA,21621840,"",3,11,4,"Altimir 1986","UNECLAC. Compilation","Encuesta de Presupuestos de Consumo","","Americas"
"44",44,"Argentina","ARG","AR",1963,38.5,1.71,6.72,17.6,6.8,10.8,15,21.7,45.7,2.8,4,5,5.8,6.9,8.1,9.8,11.9,15.6,30.1,NA,19.8,2,201,3,301,1,2,3,301,1,101,1,104,2,0,0,2,NA,NA,"",NA,1.3871666666625e-11,NA,NA,NA,21621840,"",3,10,7,"Jain 1975","World Bank. Compilation","Encuesta Sobre Presupuestos de Consumo de las Familias Urbanos, por Niveles de Ingreso para 1963","","Americas"
